class,texto_llm,prediccion,prob_anorexia
anorexia,a ver cuando se empiezan con las de anorexia y bulimia. es demasiado fÃ¡cil acceder a ellas.,anorexia,0.95
control,"Â¡7 dÃ­as, 7 razones para entrenar! llegamos al domingo y Â¡wow, se acabÃ³ la semana! porque ningÃºn cirujano esculpirÃ¡ tu cuerpo de la misma forma que lo harÃ¡ el binomio nutriciciÃ³n entrenamiento nutricion entrenamiento postureo fuerza introstraining exito28madrid",control,0.0010000000000000009
anorexia,como bajar peso comiendo sin parar. tips,control,0.050000000000000044
anorexia,"no importa si ese platillo luce bien,delicioso,rico.eso tiene muchÃ­simas calorÃ­as. nodebescomer nomasgorda motivation",anorexia,0.95
control,por supuesto el polo es de fruta y casero mÃ¡s frases patatar sano hay que cuidarse pera dÃ³nde vas sin comer sano pasas pasas totalmente de lo insano maÃ­z convencio de cer sano un poco de humor para hacerlo todo mejor. come,control,0.050000000000000044
anorexia,odio comer como una cerda por ansiedad hoy he comido patatas fritas de bolsa porque no tenÃ­a tabaco... Â¡fuck!,anorexia,0.95
control,"empieza la semana con mayor energia y concentracion con el super c4 el preworkout mÃ¡s vendido en usa energÃ­a explosiva, mayor concentraciÃ³n y un impulso abrumador de enfrentar cualquier desafÃ­o bodysculpting cellucor c4 preworkout boutique lunes felizsemana",control,0.050000000000000044
anorexia,no le decimos porque creamos que son personas sino porque simplemente odiamos la palabra anorexia y bulimia,control,0.050000000000000044
control,"nada, nada! hay que dar bocados a la vaca viva eso si es",control,0.050000000000000044
anorexia,"y encima que no es delito? vergonzoso. tiendas con misma talla y una mas pequeÃ±a que otra, no se que futuro nos espera diariode",control,0.050000000000000044
control,a fuego lento mÃ­nimo tienes que ponerlo un par de horitas pa sacarle todo el jugo. las abuelas muchas veces reciclan la carne para hacer un potaje de acelgas o de judias con calabazas con parte del caldo. esto es y lo demÃ¡s son tonterÃ­as.,control,0.050000000000000044
control,"denuncia estas pÃ¡gs, denuncia las empresas que las mantienen la pesadilla anorexia bulimia",anorexia,0.95
control,"jamas entendere a las personas que llegan a extremos con tal de encajar en la moda, en especial las de",control,0.050000000000000044
control,"que bien te ves cuando te das cuenta, que lo Ãºnico que necesitas para brillar es confiar en ti. photographer photography instapic instagramers workout lifestyle en mexico",control,0.050000000000000044
anorexia,carajo despuÃ©s de este fin de semana que tuve me tocara ayunar el resto de mi vida. rexybill,anorexia,0.95
anorexia,"hace mes tenÃ­a que pedirle ayuda a mis compaÃ±eras para que me suban el cierre de la pollera de danza, ahora me la subo sin ningÃºn problema esfuerzoyresultado",anorexia,0.95
control,lenguado a la naranja ideasdenutricion lenguado naranja cuidatesiempre cocinitas,control,0.050000000000000044
control,"vamos poco a poco, como dice el dicho para atras ni para coger impulso siempre adelante vamos por mÃ¡s! . . sexy love model follow healthy like fashion beautiful cute",control,0.050000000000000044
anorexia,Â¿por quÃ© nos cuesta tanto aceptar nuestro cuerpo y encontrar la belleza que hay en Ã©l? anorexia dietas,anorexia,0.95
anorexia,"te hacen estar en huelga de hambre hasta ser perfecta. pero tener hambre, cortarte y estar triste no es perfecciÃ³n.",anorexia,0.95
anorexia,se que pronto podrÃ© ser una muÃ±equita de porcelana anaymialifestyle anaymiaforeverfriends anaymiaarequeen anaymiaporsiempre anaymiatips thinsp0 collarbones thighgaps,anorexia,0.95
anorexia,ellas son tan perfectas! thinspo thinspiration thighgap,anorexia,0.95
anorexia,una de la maÃ±ana con laxantes....!!! malditagordura perfecciÃ³n,anorexia,0.95
control,la realidad es la que es...,control,0.050000000000000044
anorexia,yo para no contar calorias no como nada,anorexia,0.95
